loan_amnt,int_rate,annual_inc,emp_length,grade,home_ownership,purpose,loan_status,issue_d,dti
35000,12.12,90000.0,0,B,RENT,debt_consolidation,non_default,2013-06-01,3.51
15000,7.49,100000.0,5,A,OWN,small_business,non_default,2016-10-01,6.71
24000,21.15,58000.0,5,E,RENT,debt_consolidation,non_default,2013-09-01,15.5
5000,9.93,46750.0,0,B,RENT,credit_card,non_default,2017-12-01,11.09
6550,24.74,42000.0,9,E,MORTGAGE,other,non_default,2017-03-01,18.71
12000,14.33,107499.0,10,C,MORTGAGE,debt_consolidation,non_default,2013-04-01,1.55
14750,24.99,160000.0,10,F,RENT,debt_consolidation,default,2015-04-01,11.04
18000,7.99,150000.0,0,A,MORTGAGE,credit_card,non_default,2016-07-01,8.47
30000,17.86,70000.0,9,D,MORTGAGE,debt_consolidation,non_default,2015-05-01,17.16
12000,13.18,50000.0,4,C,MORTGAGE,debt_consolidation,default,2015-11-01,33.94
25000,17.77,104000.0,5,D,MORTGAGE,debt_consolidation,non_default,2012-12-01,16.7
6000,9.93,125000.0,5,B,RENT,major_purchase,non_default,2017-08-01,6.44
15000,9.43,62000.0,2,B,RENT,credit_card,non_default,2018-04-01,7.65
26200,12.29,57000.0,7,C,MORTGAGE,debt_consolidation,non_default,2015-05-01,21.45
40000,20.0,160000.0,2,D,RENT,credit_card,default,2017-09-01,31.97
14000,12.05,40000.0,5,C,RENT,debt_consolidation,non_default,2015-11-01,38.73
5000,9.49,60000.0,4,B,MORTGAGE,home_improvement,non_default,2014-11-01,20.02
5100,11.49,15000.0,5,B,RENT,debt_consolidation,non_default,2016-11-01,12.0
5800,19.99,37000.0,Unknown,E,RENT,debt_consolidation,non_default,2014-05-01,11.29
14400,19.03,40000.0,1,D,RENT,debt_consolidation,non_default,2017-09-01,33.15
9000,11.53,57000.0,3,B,RENT,other,non_default,2015-04-01,21.18
30000,10.99,165000.0,10,B,MORTGAGE,home_improvement,non_default,2014-02-01,13.37
5000,7.69,45760.0,3,A,MORTGAGE,car,non_default,2014-10-01,12.17
4000,13.99,114000.0,10,C,MORTGAGE,debt_consolidation,non_default,2017-01-01,19.13
15000,11.99,60000.0,2,B,MORTGAGE,debt_consolidation,non_default,2017-12-01,8.06
24000,13.33,143000.0,10,C,MORTGAGE,debt_consolidation,non_default,2015-06-01,16.88
32000,15.61,122000.0,9,D,MORTGAGE,credit_card,non_default,2015-10-01,4.03
15050,16.29,57000.0,10,D,RENT,debt_consolidation,non_default,2014-08-01,29.16
5000,12.29,77250.0,Unknown,C,MORTGAGE,debt_consolidation,non_default,2015-10-01,14.28
16000,15.61,135000.0,10,D,MORTGAGE,other,non_default,2015-10-01,15.03
2000,13.58,28000.0,2,C,RENT,other,default,2018-04-01,18.47
4000,14.33,22000.0,Unknown,C,RENT,debt_consolidation,non_default,2015-11-01,5.46
24000,19.99,50000.0,2,D,MORTGAGE,debt_consolidation,default,2016-12-01,26.34
19700,16.99,56160.0,3,D,RENT,debt_consolidation,non_default,2014-07-01,19.52
8000,18.24,50000.0,3,D,OWN,small_business,non_default,2014-08-01,13.15
12000,26.49,43000.0,5,F,RENT,other,default,2016-08-01,20.23
18000,20.49,50000.0,5,E,MORTGAGE,debt_consolidation,default,2014-03-01,8.74
7000,8.39,40000.0,1,A,RENT,credit_card,non_default,2014-08-01,19.74
20000,18.25,55000.0,1,E,OWN,credit_card,default,2015-09-01,29.74
20000,14.99,62000.0,10,C,MORTGAGE,debt_consolidation,non_default,2017-01-01,20.36
19000,8.9,82000.0,10,A,MORTGAGE,debt_consolidation,non_default,2014-02-01,18.38
25000,15.61,55000.0,10,C,RENT,debt_consolidation,non_default,2014-02-01,20.59
5350,18.2,65000.0,1,E,OWN,debt_consolidation,non_default,2015-12-01,7.27
25000,21.98,85000.0,1,E,RENT,debt_consolidation,non_default,2012-09-01,11.02
7750,17.77,60000.0,3,D,RENT,other,non_default,2013-06-01,3.76
20000,9.92,50000.0,3,B,MORTGAGE,debt_consolidation,non_default,2018-05-01,28.13
