loan_amnt,int_rate,annual_inc,emp_length,grade,home_ownership,purpose,loan_status,issue_d
35000,12.12,90000.0,< 1 year,B,RENT,debt_consolidation,Fully Paid,Jun-2013
30000,10.75,100000.0,2 years,B,RENT,credit_card,Current,Apr-2016
15000,7.49,100000.0,5 years,A,OWN,small_business,Fully Paid,Oct-2016
24000,21.15,58000.0,5 years,E,RENT,debt_consolidation,Fully Paid,Sep-2013
14400,8.59,90000.0,3 years,A,MORTGAGE,debt_consolidation,Current,Aug-2016
5000,9.93,46750.0,< 1 year,B,RENT,credit_card,Fully Paid,Dec-2017
25600,8.81,35000.0,1 year,A,MORTGAGE,credit_card,Current,Nov-2018
6550,24.74,42000.0,9 years,E,MORTGAGE,other,Fully Paid,Mar-2017
12000,14.33,107499.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Apr-2013
21000,17.99,85000.0,3 years,D,RENT,debt_consolidation,Current,Sep-2016
15500,19.99,77500.0,5 years,D,MORTGAGE,debt_consolidation,Current,Sep-2016
14750,24.99,160000.0,10+ years,F,RENT,debt_consolidation,Charged Off,Apr-2015
20000,7.89,72000.0,,A,OWN,debt_consolidation,Current,Aug-2015
18000,7.99,150000.0,< 1 year,A,MORTGAGE,credit_card,Fully Paid,Jul-2016
16000,8.24,115000.0,2 years,B,MORTGAGE,credit_card,Current,Jan-2017
30000,17.86,70000.0,9 years,D,MORTGAGE,debt_consolidation,Fully Paid,May-2015
12000,13.18,50000.0,4 years,C,MORTGAGE,debt_consolidation,Charged Off,Nov-2015
5000,11.55,75000.0,9 years,B,MORTGAGE,credit_card,Current,Oct-2018
35000,10.75,197000.0,5 years,B,MORTGAGE,credit_card,Current,Mar-2016
25000,17.77,104000.0,5 years,D,MORTGAGE,debt_consolidation,Fully Paid,Dec-2012
16000,6.46,60000.0,7 years,A,MORTGAGE,debt_consolidation,Current,Nov-2018
6000,9.93,125000.0,5 years,B,RENT,major_purchase,Fully Paid,Aug-2017
15000,9.43,62000.0,2 years,B,RENT,credit_card,Fully Paid,Apr-2018
26200,12.29,57000.0,7 years,C,MORTGAGE,debt_consolidation,Fully Paid,May-2015
11000,15.02,43837.0,,C,RENT,debt_consolidation,Current,Jul-2018
40000,20.0,160000.0,2 years,D,RENT,credit_card,Charged Off,Sep-2017
14000,12.05,40000.0,5 years,C,RENT,debt_consolidation,Fully Paid,Nov-2015
5000,9.49,60000.0,4 years,B,MORTGAGE,home_improvement,Fully Paid,Nov-2014
10000,10.99,34000.0,10+ years,B,MORTGAGE,credit_card,Current,May-2015
5100,11.49,15000.0,5 years,B,RENT,debt_consolidation,Fully Paid,Nov-2016
38000,10.42,200000.0,10+ years,B,MORTGAGE,credit_card,Current,Feb-2018
5800,19.99,37000.0,,E,RENT,debt_consolidation,Fully Paid,May-2014
14400,19.03,40000.0,1 year,D,RENT,debt_consolidation,Fully Paid,Sep-2017
9000,11.53,57000.0,3 years,B,RENT,other,Fully Paid,Apr-2015
30000,10.99,165000.0,10+ years,B,MORTGAGE,home_improvement,Fully Paid,Feb-2014
5000,7.69,45760.0,3 years,A,MORTGAGE,car,Fully Paid,Oct-2014
29900,19.03,65000.0,10+ years,D,RENT,debt_consolidation,Current,Jun-2017
29000,10.99,185000.0,5 years,B,MORTGAGE,debt_consolidation,Current,Jul-2015
4000,13.99,114000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Jan-2017
15000,11.99,60000.0,2 years,B,MORTGAGE,debt_consolidation,Fully Paid,Dec-2017
24000,13.33,143000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Jun-2015
14400,6.72,93000.0,,A,MORTGAGE,home_improvement,Current,Jan-2018
10000,12.99,80000.0,10+ years,C,MORTGAGE,debt_consolidation,Current,Apr-2016
20400,15.99,93000.0,3 years,C,RENT,debt_consolidation,Current,May-2017
14400,6.72,87000.0,10+ years,A,RENT,credit_card,Current,Dec-2017
32000,15.61,122000.0,9 years,D,MORTGAGE,credit_card,Fully Paid,Oct-2015
27500,13.33,80000.0,1 year,C,RENT,debt_consolidation,Current,Oct-2015
8000,11.06,42500.0,10+ years,B,MORTGAGE,debt_consolidation,Current,Sep-2018
15050,16.29,57000.0,10+ years,D,RENT,debt_consolidation,Fully Paid,Aug-2014
5000,12.29,77250.0,,C,MORTGAGE,debt_consolidation,Fully Paid,Oct-2015
8400,11.06,52000.0,7 years,B,RENT,debt_consolidation,Current,Aug-2018
16000,15.61,135000.0,10+ years,D,MORTGAGE,other,Fully Paid,Oct-2015
